module,area,source_path,decision
secondbrain.agent.agent_memory_integration,agent,SecondBrain-Agent/secondbrain/agent/agent_memory_integration.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.agent.benchmark_suite,agent,SecondBrain-Agent/secondbrain/agent/benchmark_suite.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.agent.event_dispatcher,agent,SecondBrain-Agent/secondbrain/agent/event_dispatcher.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.agent.human_loop_workflow,agent,SecondBrain-Agent/secondbrain/agent/human_loop_workflow.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.agent.integration_bridge,agent,SecondBrain-Agent/secondbrain/agent/integration_bridge.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.agent.plan_repository,agent,SecondBrain-Agent/secondbrain/agent/plan_repository.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.agent.planning.task_registry,agent,SecondBrain-Agent/secondbrain/agent/planning/task_registry.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.agent.task_scheduler,agent,SecondBrain-Agent/secondbrain/agent/task_scheduler.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.agent.tool_dependency_resolver,agent,SecondBrain-Agent/secondbrain/agent/tool_dependency_resolver.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.agent.workflow_repository,agent,SecondBrain-Agent/secondbrain/agent/workflow_repository.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.cli.p1_embedding_status,cli,SecondBrain-Agent/secondbrain/cli/p1_embedding_status.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.cli.p2_agent_status,cli,SecondBrain-Agent/secondbrain/cli/p2_agent_status.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.cli.p3_memory_status,cli,SecondBrain-Agent/secondbrain/cli/p3_memory_status.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.cli.p4_connector_status,cli,SecondBrain-Agent/secondbrain/cli/p4_connector_status.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.cli.p5_gui_status,cli,SecondBrain-Agent/secondbrain/cli/p5_gui_status.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.cli.p6_voice_status,cli,SecondBrain-Agent/secondbrain/cli/p6_voice_status.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.cli.p7_mobile_status,cli,SecondBrain-Agent/secondbrain/cli/p7_mobile_status.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.cli.p8_status,cli,SecondBrain-Agent/secondbrain/cli/p8_status.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.connectors.benchmark_suite,connectors,SecondBrain-Agent/secondbrain/connectors/benchmark_suite.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.connectors.github_connector,connectors,SecondBrain-Agent/secondbrain/connectors/github_connector.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.connectors.github_sync,connectors,SecondBrain-Agent/secondbrain/connectors/github_sync.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.connectors.google_calendar_connector,connectors,SecondBrain-Agent/secondbrain/connectors/google_calendar_connector.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.connectors.google_calendar_sync,connectors,SecondBrain-Agent/secondbrain/connectors/google_calendar_sync.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.connectors.google_drive_connector,connectors,SecondBrain-Agent/secondbrain/connectors/google_drive_connector.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.connectors.google_drive_sync,connectors,SecondBrain-Agent/secondbrain/connectors/google_drive_sync.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.connectors.sync_audit,connectors,SecondBrain-Agent/secondbrain/connectors/sync_audit.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.connectors.token_repository,connectors,SecondBrain-Agent/secondbrain/connectors/token_repository.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.connectors.webhook_manager,connectors,SecondBrain-Agent/secondbrain/connectors/webhook_manager.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.dashboard.agent_dashboard,dashboard,SecondBrain-Agent/secondbrain/dashboard/agent_dashboard.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.dashboard.api.retrieval_metrics_api,dashboard,SecondBrain-Agent/secondbrain/dashboard/api/retrieval_metrics_api.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.dashboard.connector_dashboard,dashboard,SecondBrain-Agent/secondbrain/dashboard/connector_dashboard.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.dashboard.operations_dashboard,dashboard,SecondBrain-Agent/secondbrain/dashboard/operations_dashboard.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.dashboard.retrieval_dashboard,dashboard,SecondBrain-Agent/secondbrain/dashboard/retrieval_dashboard.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.dashboard.widgets.live_metrics_widget,dashboard,SecondBrain-Agent/secondbrain/dashboard/widgets/live_metrics_widget.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.dashboard.widgets.retrieval_performance_widget,dashboard,SecondBrain-Agent/secondbrain/dashboard/widgets/retrieval_performance_widget.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.dashboard.widgets.retrieval_quality_widget,dashboard,SecondBrain-Agent/secondbrain/dashboard/widgets/retrieval_quality_widget.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.desktop.settings.settings_events,desktop,SecondBrain-Agent/secondbrain/desktop/settings/settings_events.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.ga.deployment_manager,ga,SecondBrain-Agent/secondbrain/ga/deployment_manager.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.ga.ga_release_gate,ga,SecondBrain-Agent/secondbrain/ga/ga_release_gate.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.ga.telemetry_center,ga,SecondBrain-Agent/secondbrain/ga/telemetry_center.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.gates.p1_quality_thresholds,gates,SecondBrain-Agent/secondbrain/gates/p1_quality_thresholds.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.gates.p4_maturity_gate,gates,SecondBrain-Agent/secondbrain/gates/p4_maturity_gate.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.gates.p5_maturity_gate,gates,SecondBrain-Agent/secondbrain/gates/p5_maturity_gate.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.gates.p6_production_gate,gates,SecondBrain-Agent/secondbrain/gates/p6_production_gate.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.gates.p7_production_gate,gates,SecondBrain-Agent/secondbrain/gates/p7_production_gate.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.gates.p8_production_gate,gates,SecondBrain-Agent/secondbrain/gates/p8_production_gate.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.gui.agent_runs_dashboard,gui,SecondBrain-Agent/secondbrain/gui/agent_runs_dashboard.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.gui.approval_inbox,gui,SecondBrain-Agent/secondbrain/gui/approval_inbox.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.gui.benchmark_suite,gui,SecondBrain-Agent/secondbrain/gui/benchmark_suite.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.gui.citation_viewer,gui,SecondBrain-Agent/secondbrain/gui/citation_viewer.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.gui.connector_management,gui,SecondBrain-Agent/secondbrain/gui/connector_management.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.gui.dock_layout,gui,SecondBrain-Agent/secondbrain/gui/dock_layout.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.gui.memory_graph_view,gui,SecondBrain-Agent/secondbrain/gui/memory_graph_view.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.gui.persistent_settings,gui,SecondBrain-Agent/secondbrain/gui/persistent_settings.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.gui.system_monitor,gui,SecondBrain-Agent/secondbrain/gui/system_monitor.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.gui.widget_framework,gui,SecondBrain-Agent/secondbrain/gui/widget_framework.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.gui_backend_v102,root,SecondBrain-Agent/secondbrain/gui_backend_v102.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.llm_router,root,SecondBrain-Agent/secondbrain/llm_router.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.mcp_tools_v101,root,SecondBrain-Agent/secondbrain/mcp_tools_v101.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.meeting_intelligence,root,SecondBrain-Agent/secondbrain/meeting_intelligence.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.memory.conversation_timeline,memory,SecondBrain-Agent/secondbrain/memory/conversation_timeline.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.memory.memory_analytics,memory,SecondBrain-Agent/secondbrain/memory/memory_analytics.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.memory.memory_benchmark_suite,memory,SecondBrain-Agent/secondbrain/memory/memory_benchmark_suite.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.memory.persistent_memory_graph,memory,SecondBrain-Agent/secondbrain/memory/persistent_memory_graph.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.mobile.background_sync,mobile,SecondBrain-Agent/secondbrain/mobile/background_sync.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.mobile.benchmark_suite,mobile,SecondBrain-Agent/secondbrain/mobile/benchmark_suite.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.mobile.chat_ui,mobile,SecondBrain-Agent/secondbrain/mobile/chat_ui.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.mobile.offline_model,mobile,SecondBrain-Agent/secondbrain/mobile/offline_model.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.mobile.pwa_manager,mobile,SecondBrain-Agent/secondbrain/mobile/pwa_manager.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.mobile.voice_interface,mobile,SecondBrain-Agent/secondbrain/mobile/voice_interface.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.native.agent_control_center_gui,native,SecondBrain-Agent/secondbrain/native/agent_control_center_gui.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.native.command_center_gui,native,SecondBrain-Agent/secondbrain/native/command_center_gui.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.native.document_explorer_gui,native,SecondBrain-Agent/secondbrain/native/document_explorer_gui.py,QUARANTINE_PENDING_GREEN_RUN
secondbrain.native.memory_explorer_gui,native,SecondBrain-Agent/secondbrain/native/memory_explorer_gui.py,QUARANTINE_PENDING_GREEN_RUN
